#{"t_start": 1751995681.3576336, "env_id": "None"}
r,l,t
36.0,50,72.850431
44.191667,28,72.993459
44.87234,22,73.116602
40.647526,47,73.362506
41.018243,53,73.646274
35.752966,46,73.881451
34.375938,46,74.125097
44.276763,34,74.293314
41.252366,39,74.508757
43.589846,99,75.013213
35.024768,59,75.308036
40.58426,52,75.57299
44.37034,32,75.738811
40.839364,40,75.953177
41.374338,45,76.181831
35.299296,73,76.538302
34.951016,69,76.87288
34.368376,36,77.053251
-32.45,50,77.295185
44.267034,39,77.519707
39.0,37,77.707009
-32.28,66,78.039686
41.00429,50,78.296393
46.393942,32,78.458886
39.0,31,78.62807
41.155384,43,78.8582
43.277055,25,78.999057
37.555654,53,79.286489
-32.63,105,79.845889
35.876623,30,80.008965
39.0,32,80.178515
41.320819,29,80.328284
41.43662,18,80.422446
43.871979,26,80.558455
38.704918,39,80.793825
45.877343,35,80.986856
38.041171,60,81.316449
46.571423,49,81.581673
38.426808,23,81.698087
41.986667,35,81.873397
32.408889,88,82.339201
35.455634,52,82.596205
39.871355,39,82.790386
38.353232,36,82.973335
38.330365,38,83.162331
43.825164,25,83.290502
41.325203,29,83.433726
38.169065,43,83.620995
38.747292,30,83.761281
40.58867,33,83.933573
43.802491,39,84.133166
40.558559,35,84.30858
45.0,21,84.419749
35.805556,38,84.615803
44.568627,29,85.431993
41.731778,31,85.578826
32.076336,75,85.970239
37.569878,52,86.229918
37.475322,41,86.443798
33.0,71,86.810852
43.505996,43,87.033161
35.016374,41,87.252755
32.232824,69,87.590044
42.0,20,87.703227
38.071182,49,87.958361
41.394938,41,88.165286
35.105058,56,88.465491
44.022059,22,88.576448
38.291667,52,88.8558
37.836222,56,89.163278
33.0,45,89.402983
40.372906,39,89.612275
35.065934,38,89.807832
32.470149,53,90.082441
40.377692,33,90.263376
39.0,27,90.400187
32.516616,34,90.570669
38.438174,43,90.787235
41.633803,21,90.902693
36.0,31,91.055064
32.470588,52,91.326505
38.511111,52,91.608585
38.298319,25,91.740306
38.753151,64,92.071919
-32.71,48,92.342607
41.824138,26,92.478155
-32.13,50,92.736628
-32.24,49,92.98441
44.120331,41,93.196695
41.871429,26,93.332677
35.903346,41,93.546549
35.018182,39,93.74667
38.902834,38,93.935186
41.114865,19,94.038598
32.313333,42,94.271892
-35.29,46,94.50857
47.225352,17,94.597707
41.100992,29,94.732673
41.404431,31,94.897634
32.846416,49,95.14734
39.0,27,95.288081
38.63981,28,95.435532
41.794872,53,95.74366
35.16041,32,95.938628
41.876574,48,96.205303
35.804878,59,96.539419
38.692308,64,96.886131
38.328413,32,97.057619
41.410909,34,97.244331
41.584985,53,97.525102
-33.0,54,97.790208
43.722032,48,98.049645
38.209486,32,98.219845
43.630867,25,98.354697
40.446797,36,98.544898
35.118644,33,98.729619
47.006361,34,98.912124
35.266495,45,99.138383
38.24891,34,99.322266
40.663747,25,99.455703
38.604167,28,99.622268
41.544776,27,99.772648
-32.22,76,100.194971
38.115119,41,100.419368
38.027948,33,100.593053
38.632653,35,100.771898
35.074074,38,100.95647
38.229851,34,101.148785
44.223783,20,101.265465
37.203305,69,101.644537
38.881295,46,101.895061
33.0,39,102.094829
38.9,39,102.3058
41.027818,34,102.491742
41.916667,28,102.641933
45.0,31,102.80932
40.601456,45,103.038991
35.900398,28,103.188435
47.758993,21,103.307891
37.692565,34,103.473241
35.608974,58,103.78492
38.955172,88,104.276059
41.064087,35,104.451766
41.0839,23,104.570827
44.232478,43,104.803759
35.64,61,105.124762
38.078358,32,105.29361
38.522788,23,105.430034
39.0,56,105.725619
43.90307,37,105.921913
42.730656,50,106.17675
47.28013,19,106.277772
44.375926,49,106.535164
36.0,39,106.742595
44.01845,67,107.092345
41.651852,34,107.273926
47.311573,22,107.391969
44.395887,30,107.553933
43.940136,33,107.737453
