#{"t_start": 1750378271.4069536, "env_id": "None"}
r,l,t
43.90783,35,124.580435
38.462799,52,125.093636
40.547529,26,125.368678
35.678967,81,126.088523
34.651903,63,126.717964
32.893443,49,127.224646
41.149924,48,127.75094
40.786883,59,128.297523
46.654397,40,128.691749
38.110345,42,129.103486
37.493826,79,129.772904
40.973672,25,130.044097
43.802532,35,130.4045
37.797032,59,130.936979
41.507463,31,131.256295
40.535638,38,131.640055
38.514599,29,131.948003
-35.29,62,132.620898
35.118321,48,133.127152
41.314394,30,133.484183
37.637851,36,133.842584
32.312727,58,134.327728
38.64751,36,134.688925
34.558006,56,135.18678
37.759562,42,135.624073
37.32684,51,136.131169
35.798878,34,136.497518
35.727679,66,137.117489
34.92867,83,137.943541
35.666667,29,138.249734
42.0,44,138.676705
-34.88,70,139.290236
46.793615,34,139.641379
-33.0,56,140.160058
38.345392,61,140.696527
41.2,28,140.997938
38.496403,27,141.279648
35.328924,43,141.689654
35.120743,58,142.246681
34.759162,30,142.562731
35.302594,116,143.705199
43.084041,80,144.4258
35.5,41,144.808169
43.593628,47,145.240331
43.757504,68,145.818325
43.011475,32,146.14797
41.098795,29,146.443094
40.353047,30,146.776726
35.069376,42,147.199897
32.287097,46,147.614872
46.810539,21,147.852789
-32.36,49,148.374573
44.723849,20,148.663471
32.435798,65,149.215643
-33.0,90,149.955671
41.004049,41,150.388189
36.0,30,150.713728
38.220532,53,151.23031
32.634615,55,151.732662
36.0,34,152.081807
43.176792,25,152.378406
44.659664,21,152.623564
33.0,91,153.46093
35.326996,45,153.884175
39.0,33,154.229899
41.130632,28,154.538449
-32.6,85,155.272685
44.733333,21,155.53355
32.435556,28,155.851255
-32.55,54,156.35538
-40.54,43,156.775696
-32.78,81,157.431339
40.198333,71,158.011256
43.394615,35,158.379979
41.33218,29,158.67546
-35.38,56,159.889521
41.199893,55,160.389706
32.40081,42,160.791466
38.556911,45,161.200604
35.523466,42,161.580007
35.359712,36,161.927739
38.185455,33,162.257526
35.088462,35,162.64729
41.336183,37,162.996488
-35.16,61,163.538464
44.868966,37,163.922135
35.076159,37,164.312266
33.0,37,164.68379
41.542208,37,165.050972
32.701149,29,165.365533
40.919993,34,165.762005
32.008197,75,166.422359
46.455428,45,166.877723
38.426409,34,167.234098
41.078813,27,167.514643
47.066242,28,167.801928
41.079245,28,168.092392
-34.62,44,168.492299
39.0,46,168.914665
-32.98,97,169.743676
-39.41,59,170.298208
32.738928,42,170.677805
43.429098,47,171.122593
40.803186,34,171.448648
37.577879,46,171.86799
35.102564,34,172.195066
38.276282,41,172.578799
38.106529,44,173.012042
38.938182,28,173.300886
-35.07,42,173.71278
41.362245,32,174.02627
37.568976,43,174.481161
35.1875,35,174.853678
35.272058,44,175.293571
38.644788,37,175.647981
41.180096,35,175.983116
40.965476,37,176.348173
35.461749,57,176.847177
41.128853,82,177.519849
38.739927,42,177.905496
-34.95,47,178.357534
35.365614,42,178.773849
40.847902,39,179.140399
41.492188,33,179.47835
38.836381,32,179.837441
35.247191,42,180.224303
46.700923,39,180.607442
35.940426,56,181.128192
32.782759,62,181.698076
37.743845,51,182.198203
32.547619,62,182.722645
44.118788,25,183.030712
40.939834,43,183.426974
40.497699,29,183.723654
33.0,42,184.128468
41.782258,35,184.484607
-37.82,47,184.976035
43.028888,35,185.3408
-32.17,42,185.777354
43.431409,40,186.157607
