#{"t_start": 1751993983.4978962, "env_id": "None"}
r,l,t
38.197183,46,76.63809
35.066667,51,76.88022
46.536002,45,77.094916
35.557175,109,77.604201
35.069686,43,77.797417
-35.08,38,78.587414
-32.25,76,78.940701
40.743734,46,79.168097
38.363432,73,79.516528
32.772388,69,79.850658
38.336854,50,80.090109
35.448529,38,80.280066
35.278852,37,80.447716
40.861498,65,80.751179
33.0,61,81.02197
44.576404,35,81.187394
32.021645,30,81.997089
44.498934,29,82.1377
-33.0,52,82.388841
44.37497,40,82.568421
40.721952,56,82.830823
41.242328,34,82.993671
32.200855,82,83.400646
-33.0,45,83.640721
-32.75,71,83.980181
-34.56,55,84.252342
38.384892,34,84.428559
37.425602,48,84.667556
35.313492,42,84.881773
-32.2,106,85.386573
37.065263,35,85.556947
43.881145,37,85.743778
37.833108,89,86.196194
37.715161,51,86.450896
35.815235,45,86.665813
37.761369,44,86.886039
32.901709,47,87.112386
38.370596,36,87.285606
-32.01,44,87.495682
47.365994,21,87.598422
46.024325,34,87.763546
35.80597,44,87.972503
38.418261,58,88.254458
41.356589,27,88.382191
-32.46,75,88.716384
33.0,46,88.920808
44.680645,29,89.064618
38.203087,77,90.029329
38.473896,30,90.171477
43.134005,33,90.331321
35.59657,40,90.517363
42.533554,37,90.687552
41.508897,43,90.895394
-35.45,80,91.270982
44.07862,33,91.433853
-32.86,68,91.752367
41.613494,22,91.853523
40.65421,91,92.287619
-32.87,76,92.660895
-32.43,67,92.989532
38.73,50,93.198411
38.1014,62,93.515219
41.498368,33,93.690272
33.0,77,94.085373
40.43288,41,94.293571
43.67496,26,94.421077
39.906852,54,94.678035
32.174033,44,94.866947
38.417127,40,95.075114
38.768212,40,95.261205
32.818898,97,95.743442
46.51894,57,96.026028
-32.25,66,96.351455
32.842308,48,96.590976
41.120516,36,96.76685
34.909248,44,96.982707
34.78901,53,97.22847
41.050193,26,97.358573
41.177342,96,97.8248
41.9375,38,98.007694
37.865406,48,98.247555
32.032847,48,98.471895
35.030418,43,98.684206
35.808271,29,98.806594
-33.0,70,99.129309
33.0,64,99.419083
42.0,45,100.263963
35.384615,42,100.461633
35.506073,47,100.688994
33.0,37,100.867366
40.218937,37,101.047462
40.860151,38,101.241844
37.784053,60,101.535812
38.634146,61,101.819499
-32.3,51,102.048446
38.75,59,102.332704
-33.0,32,102.48748
-32.1,49,102.711446
38.854167,50,102.95545
41.854962,34,103.119185
40.990846,41,103.311044
36.0,31,103.443819
32.782209,40,103.629
35.607843,77,104.005357
38.358636,70,105.153397
-33.0,70,105.491985
41.904762,53,105.743872
41.35906,42,105.940503
35.22963,41,106.138598
39.0,41,106.331146
-32.36,85,106.703003
43.396268,67,107.006528
-33.0,53,107.239708
-32.79,43,107.45808
37.177267,57,107.757482
37.973029,33,107.921919
-35.61,44,108.146864
35.32069,72,108.486373
41.345324,32,108.645497
47.007885,31,108.796541
41.242222,34,108.963107
32.548077,56,109.239156
-32.08,100,109.69251
41.220711,26,109.818843
40.835512,44,110.038586
38.495177,40,110.232264
35.682731,44,110.451389
41.925197,48,110.68482
32.244604,92,111.752029
-32.52,47,111.975782
37.548822,36,112.148854
38.839552,55,112.405892
40.321721,48,112.645946
41.014658,33,112.799878
35.600775,31,112.95153
41.140055,43,113.154774
35.076923,33,113.308326
-35.62,53,113.569492
-32.66,67,113.886872
38.750779,36,114.057634
38.688123,44,114.25643
36.0,41,114.441272
43.32057,35,114.621631
43.491534,69,114.968026
35.498786,52,115.208344
41.200883,44,115.405878
32.257627,81,115.790905
47.444911,36,115.961626
41.402299,32,116.113456
40.723468,84,116.513252
-32.55,57,116.788266
35.708333,34,116.945645
36.0,48,117.153158
-32.87,60,117.451462
-35.03,40,117.633871
35.151408,55,117.871098
43.700733,54,118.133226
-35.99,69,118.447398
41.352941,56,118.719078
38.679426,54,118.967998
41.214565,50,119.19748
35.965665,80,119.54602
37.260732,60,119.829122
35.126812,34,119.984283
