#{"t_start": 1751997495.6146967, "env_id": "None"}
r,l,t
-38.54,27,54.766297
-41.03,38,54.941612
-41.22,25,55.525165
32.452012,155,56.265952
-38.71,38,56.463424
-35.54,31,56.637196
-32.63,46,56.86393
-32.84,53,57.12687
-38.11,35,57.30505
32.520295,36,58.126719
-41.18,24,58.252929
-38.53,42,58.452269
-35.59,43,58.659373
-39.82,25,58.781784
-38.83,28,58.905199
-44.75,24,59.022429
-38.14,25,59.165637
-39.0,20,59.261313
-35.48,31,59.41579
32.637066,45,59.625462
-35.01,47,59.857934
-35.59,31,60.011772
-32.42,33,60.178633
-35.37,40,60.377964
-36.0,34,60.557145
-35.38,24,60.679817
-38.39,30,60.836289
-32.67,36,60.996864
-38.77,34,61.172249
-35.74,103,61.72026
35.253646,38,61.916036
-42.0,24,62.038039
32.425287,74,62.408545
-44.63,26,62.557878
-42.0,32,62.729188
-38.56,37,62.911844
-33.0,32,63.072582
-36.0,29,63.223352
-38.35,48,63.467684
32.833333,51,63.716651
-41.65,35,63.893901
-32.82,41,64.080347
35.090921,36,64.252011
-38.26,65,64.551535
-32.62,41,64.743888
32.521036,63,65.049405
-33.0,28,65.203187
-45.0,42,65.451243
-41.39,38,65.654367
-32.56,68,65.995738
34.45138,28,66.136545
-35.28,34,66.315368
-35.16,36,66.49862
-38.11,52,66.760978
-36.0,33,66.933294
34.551308,32,67.083696
-35.09,45,67.279659
-44.81,63,67.564284
32.191336,29,67.706519
35.155958,63,68.040567
-38.77,28,68.200561
35.470588,28,68.965137
-33.0,29,69.076733
32.153191,46,69.306828
-42.0,104,69.80446
-38.37,39,69.991392
-41.66,24,70.10674
-35.19,35,70.28038
-32.46,133,70.936894
-35.64,34,71.10522
-35.95,31,71.244553
-41.07,30,71.413384
-41.76,33,71.582525
-35.42,35,71.78671
-35.9,37,71.963453
-35.8,38,72.158242
-35.8,41,72.366035
-41.26,28,73.079936
32.657627,47,73.287941
-38.39,32,73.45295
41.780303,29,73.604044
-42.0,67,73.922129
-44.03,31,74.080208
35.172185,35,74.278168
-41.08,29,74.421016
-41.81,23,74.530881
-38.52,28,74.678443
32.815182,44,74.897116
-36.0,37,75.082008
37.894306,24,75.193508
-32.7,68,75.530606
37.035385,36,75.706317
-32.59,41,75.889105
-32.94,40,76.074798
-32.06,46,76.292099
-38.26,43,76.498713
32.313253,31,76.647276
-41.11,25,76.781664
-39.0,24,76.90781
-41.08,21,77.007805
34.688889,32,77.149065
34.878978,39,77.337834
-41.22,25,77.453965
-38.29,31,77.604358
-35.91,54,77.858245
-38.56,30,78.000483
-35.88,44,78.215415
-41.91,24,78.333216
-41.04,26,78.48096
-41.91,22,78.586266
32.250836,49,78.81774
-32.07,34,78.977534
-38.1,27,79.105211
-38.35,28,79.242052
-41.13,41,79.42816
-35.91,31,80.172507
32.614173,55,80.451432
-44.64,43,80.669206
37.972908,50,80.929069
-38.48,29,81.071299
33.0,56,81.342783
-44.65,32,81.494834
-38.47,21,81.591183
35.156997,53,81.857085
-44.59,29,82.002092
-39.0,38,82.183448
32.160606,43,82.391156
-35.61,29,82.524162
-35.62,29,82.660086
33.0,43,82.844972
-32.91,39,83.021574
32.29562,50,83.25822
-38.65,29,83.399196
-38.63,49,83.627921
-44.57,26,83.753511
