#{"t_start": 1751257701.4948792, "env_id": "None"}
r,l,t
35.669169,63,119.960701
38.716049,30,120.248685
47.288462,14,120.443181
35.408479,40,120.789696
40.649187,39,121.15269
46.528661,37,121.525027
-32.35,43,121.897116
33.0,36,122.214951
41.351813,45,122.611218
-34.7,40,123.006135
42.650234,67,123.580135
43.933979,36,123.931665
40.409414,40,124.283773
40.676479,36,124.622466
43.37728,34,124.955797
43.057357,36,125.314527
41.92126,40,125.681762
41.157051,27,125.963656
42.0,27,126.240663
44.17766,29,126.520895
40.966935,30,126.818634
44.130387,28,127.103291
40.76934,41,127.483509
45.63895,34,127.807509
34.734554,41,128.166692
32.351145,105,128.959247
39.0,23,129.204606
40.521379,30,129.510644
35.344978,42,129.865377
32.610561,35,130.184362
-37.76,41,130.545909
42.390741,32,130.855002
37.882158,59,131.357211
41.366102,41,131.708833
38.465116,39,132.07341
37.614547,53,132.516154
35.107141,48,132.932512
46.165885,30,133.247616
43.807313,46,133.651343
43.466896,28,133.913169
32.604317,44,134.288823
41.608108,34,134.592604
43.381049,35,134.914223
41.42031,26,135.170852
40.747636,39,135.548116
35.785714,41,135.907732
44.267094,36,136.237063
38.593074,37,136.58295
34.565449,48,136.98772
37.133348,57,137.459416
35.053615,39,137.799792
44.869128,36,138.128117
41.109848,35,138.441654
41.091667,23,138.67348
36.0,33,138.979883
37.922952,37,139.325945
38.253758,37,139.668728
41.576338,43,140.038776
35.029801,30,140.330585
36.0,43,140.728893
44.468627,26,140.990728
41.135723,24,141.240899
40.723349,40,141.594273
44.869841,39,141.96024
43.218362,46,142.361415
-32.44,75,142.960202
38.23913,44,143.339577
38.321942,65,143.877971
-33.0,87,144.54531
32.183206,48,144.944473
39.565852,43,145.324468
39.0,24,145.574808
46.457884,30,145.853472
-32.77,45,146.238859
38.50913,33,146.539035
-35.23,71,147.085799
44.040567,44,147.499609
41.378525,35,147.807319
36.694271,56,148.269491
40.269062,48,149.294476
38.613169,32,149.592935
41.381908,48,150.012001
41.082969,35,150.33034
-34.89,41,150.693919
38.863014,49,151.126962
37.742606,35,151.465588
32.66899,39,151.82686
38.210345,44,152.191355
43.779956,33,152.490531
-30.0,37,152.837629
38.804444,46,153.218865
42.909673,27,153.507333
37.992882,27,153.765042
