#{"t_start": 1751263735.6251817, "env_id": "None"}
r,l,t
42.725249,46,167.113874
32.870629,60,168.077734
40.180672,44,168.867746
-35.77,54,169.692455
35.322266,42,170.319198
37.802735,78,171.428332
-32.47,64,172.398817
38.048616,47,173.12757
41.057684,50,173.899038
35.519435,36,174.438159
-35.01,62,175.363279
40.492807,37,175.920221
-32.74,49,176.667127
-32.43,62,177.571877
32.315972,62,178.477931
-40.28,57,179.307041
-33.0,119,181.682352
41.347656,52,182.675761
-32.92,67,183.81021
37.459832,44,184.589812
43.169668,46,185.367924
-34.91,86,186.712819
43.00653,33,187.293601
46.264143,69,188.346127
42.826022,46,189.071921
32.022727,64,190.035345
45.568254,39,190.653608
35.903614,58,191.549186
-39.58,41,192.193008
-32.74,154,194.426183
-32.27,49,195.184536
-35.12,51,195.970624
-34.97,79,197.139432
38.218509,32,197.668074
38.760664,43,198.331015
-32.49,66,199.353686
-32.55,78,200.516809
35.227941,90,201.832975
37.860497,62,202.808083
37.185167,45,203.521968
-32.7,53,204.554501
-38.14,109,206.31779
-33.0,48,207.132475
-33.0,97,208.618919
-40.44,30,209.137051
37.53565,43,209.805361
32.680451,99,211.231448
32.398585,96,212.699105
37.805298,70,213.750224
34.788493,62,214.710597
-36.36,51,215.48682
37.570864,58,216.347044
-32.86,71,217.436734
40.70518,53,218.245925
41.162509,57,219.111763
-38.1,34,220.57857
32.83682,46,221.27682
-32.2,66,222.243533
-32.93,82,223.507013
32.487578,87,224.788471
33.0,59,225.679548
32.115523,44,226.365162
-33.0,64,227.328093
35.380062,50,228.094091
32.388013,46,228.801777
-35.05,58,229.702274
46.93946,24,230.117105
40.664035,44,230.802296
38.23875,129,232.668027
34.800537,39,233.276719
37.554141,78,234.453411
34.895374,45,235.171977
37.340276,79,236.323767
-32.06,40,236.95223
32.202166,90,238.275117
35.330218,56,239.119099
36.0,41,239.757678
35.374444,99,241.219095
34.870065,58,242.097842
32.131274,55,242.956729
35.00996,58,243.837394
39.0,44,244.530796
32.645283,42,245.200949
34.634129,88,246.482711
-35.29,82,247.708803
-35.06,80,248.890178
-37.63,81,250.112147
37.779054,54,250.925982
34.805762,60,251.826893
38.439404,35,252.400639
-40.79,34,252.949123
35.69112,62,253.870646
-32.78,49,254.611982
-32.9,75,255.759233
40.092277,49,256.539547
44.521946,54,257.371734
-34.36,53,258.19105
37.212219,51,258.97624
-37.74,45,259.718955
32.248276,44,260.418133
32.173077,50,261.185431
34.519812,54,262.014329
40.783892,40,262.704932
39.954388,62,263.745474
41.349823,51,264.595817
42.890105,34,265.194464
37.166633,58,266.212724
-32.99,66,267.388867
41.25004,37,268.144935
38.145299,41,268.900227
32.643478,54,269.7674
37.332897,35,270.361065
35.710037,55,271.209205
-32.5,59,272.113456
-32.51,49,272.895913
34.511907,60,273.815773
37.845253,36,274.39916
-37.66,47,275.110938
-32.57,80,276.278918
32.003802,62,277.275295
